Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Space\Ships\Components\Attributes,10,298,220,137,3,65,0,13,39,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Space\Ships\Components\Listeners,10,1632,1159,619,122,285,0,188,738,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Space\UI,33,4058,2527,1357,239,799,0,732,2760,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Space\UI\PauseHUD,2,95,78,52,5,11,0,6,19,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Space\UI\PlayHUD,11,1700,1071,564,112,331,0,298,1238,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Space\UI\PlayHUD\Target,3,705,431,230,49,139,0,135,585,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Space\UI\PopupHUD,2,121,16,10,0,4,0,101,195,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Space\UI\PrefabScripts,8,885,540,279,47,216,0,129,481,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Space\UI\PrefabScripts\Friendly,1,263,158,77,13,66,0,39,174,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Space\UI\PrefabScripts\Station,3,458,283,144,24,123,0,52,210,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Space\UI\SpawnSelectHUD,2,145,92,49,4,31,0,22,104,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Space\UI\StationHUD,4,475,320,165,40,100,0,55,213,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Space\UI\StationHUD\ShipViewer,1,100,67,30,13,16,0,17,59,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Space\UI\TeamSelectHUD,1,79,47,33,2,15,0,17,72,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Space\WeaponProjectiles,5,1125,760,398,86,233,1,132,639,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Steamwork.NET,1,152,87,60,14,28,1,37,395,6,41
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\System,3,372,206,114,9,74,0,92,312,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Utilities,24,2078,1457,861,187,353,8,268,1412,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Utilities\AI,4,211,138,69,35,36,0,37,181,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Utilities\GUI,6,705,445,262,40,158,6,102,627,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Utilities\Network,1,155,95,49,0,18,0,42,183,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Utilities\Serialization,5,297,240,163,15,45,2,12,89,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\Utilities\Space,2,63,47,27,1,13,0,3,16,0,0
C:\Users\renderman\Documents\Artificer\Artificer\Assets\Scripts\VFX,4,264,185,118,17,50,0,29,122,0,0
